id	filename	md5	size	state
84c239c8-71c5-4b89-8522-c9368950e2b1	1e496d8c-0ab1-4462-b2e2-a48136ab138e.wxs.aliquot_ensemble_masked.maf.gz	c3d1ba34cb9b76ebdeaa630e54e438fe	112200	released
51371120-76d8-4bd2-857d-2bc06c574ad6	acda5160-7899-4a50-88ed-418d55adaea7.wxs.aliquot_ensemble_masked.maf.gz	586664f03763b3a8c839ba40b3f7b704	49732	released
272f8df5-b85b-4fa9-b3ad-336c028d761a	b44c03fa-b8b0-40ad-9092-f3818640f4cf.wxs.aliquot_ensemble_masked.maf.gz	2b3c850cdf3e88e99783ff119e409ebf	46843	released
c2da598c-2663-437d-847b-e0ae228c60fb	3445d00a-6639-4730-b12a-b7f9e225b32c.wxs.aliquot_ensemble_masked.maf.gz	c366082229c4160caae04a59e8e2d690	75845	released
d3d61acb-c135-4631-acec-8d4031093a70	6d1b211f-2212-49d0-8654-4550aefb9e59.wxs.aliquot_ensemble_masked.maf.gz	1ca2613041f22b498e000b012942939f	352693	released
7d1d4767-656d-4a42-b402-e61f902de293	5b56ddb2-067c-4f81-8ca4-c423dc8b6738.wxs.aliquot_ensemble_masked.maf.gz	deed87c87feff97206abb9cd610bc863	41466	released
3c9219ac-cf5f-4ab9-9bf3-5ff16a4ab1ff	dec2238d-eb92-482c-8f72-ad4a9dfb2df1.wxs.aliquot_ensemble_masked.maf.gz	cc6b84d08b7b54bbe40e60a815712c65	22726	released
1309f4e1-0533-4d1c-aefb-1657da687007	e2b214ff-9f66-49c3-b4e6-540c7c4d9b89.wxs.aliquot_ensemble_masked.maf.gz	58ceb39ab940eaa4a646be0dbba2e474	54747	released
1c932ec8-5d1f-4a48-9dbe-cc61c6dd93bb	9088478f-0a26-44e3-af3c-ec2c80bbae26.wxs.aliquot_ensemble_masked.maf.gz	903ed5229aa71b9709db943d0c38433d	351932	released
48083399-d37d-4d57-9036-6fb1f7741f15	ad634b03-eab5-48ba-ada3-b984f8a1d187.wxs.aliquot_ensemble_masked.maf.gz	03ae87d91352d5ee7537f5eb3b39e7b2	190196	released
f9588875-a849-4a35-a90d-d96d402c3a88	83a6a9b7-fb06-41a6-b299-2d75adaf8528.wxs.aliquot_ensemble_masked.maf.gz	6334bfbee298dbdb08d4f5c10311dc5b	62812	released
8f1edc95-995a-49aa-88b4-23669a44cf55	47068684-1d50-4040-98ac-37e1fc63ca93.wxs.aliquot_ensemble_masked.maf.gz	a3ecdb855ef7d5b7b68b0c36b77bb0ce	84510	released
