ModelID,SangerModelID,COSMICID,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,CCLEName
ACH-000361,SIDM01110,909719.0,SK-HEP-1,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,SKHEP1_LIVER
ACH-000362,SIDM00437,1330947.0,MOLM-13,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000363,SIDM00391,753612.0,SK-MM-2,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,SKMM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000364,SIDM01191,909776.0,U-2 OS,Bone,Osteosarcoma,Osteosarcoma,U2OS_BONE
ACH-000365,SIDM00405,1331035.0,SU-DHL-4,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000366,SIDM01100,688086.0,SK-N-DZ,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,SKNDZ_AUTONOMIC_GANGLIA
ACH-000367,SIDM00139,905941.0,NCI-H226,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",NCIH226_LUNG
ACH-000369,SIDM00435,1330948.0,MOLM-16,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,MOLM16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000371,SIDM01089,910861.0,RL,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",RL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000372,SIDM00463,909251.0,P12-ICHIKAWA,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Cell Acute Lymphoblastic Leukemia,P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000373,SIDM00380,909722.0,SKM-1,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000374,SIDM00866,749710.0,HCC1143,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,HCC1143_BREAST
ACH-000375,SIDM00855,907298.0,G-402,Kidney,Rhabdoid Cancer,Rhabdoid Cancer,G402_SOFT_TISSUE
ACH-000376,SIDM00084,905985.0,SF-295,CNS/Brain,Diffuse Glioma,Glioblastoma,SF295_CENTRAL_NERVOUS_SYSTEM
ACH-000378,SIDM01125,1240191.0,NCI-H647,Lung,Non-Small Cell Lung Cancer,Lung Adenosquamous Carcinoma,NCIH647_LUNG
ACH-000379,SIDM00754,1298350.0,NCI-H1781,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH1781_LUNG
ACH-000380,SIDM01020,907281.0,KMS-12-BM,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000381,SIDM00782,909761.0,T84,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,T84_LARGE_INTESTINE
ACH-000383,SIDM00477,910549.0,OE33,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Esophageal Adenocarcinoma,OE33_OESOPHAGUS
ACH-000384,SIDM01160,687457.0,SW 780,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,SW780_URINARY_TRACT
ACH-000386,SIDM00785,907278.0,KG-1,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000389,SIDM00852,907042.0,H4,CNS/Brain,Diffuse Glioma,Astrocytoma,H4_CENTRAL_NERVOUS_SYSTEM
ACH-000391,SIDM00386,908134.0,MHH-ES-1,Bone,Ewing Sarcoma,Ewing Sarcoma,MHHES1_BONE
ACH-000392,SIDM00922,687777.0,Calu-3,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,CALU3_LUNG
ACH-000394,SIDM00710,908480.0,NCI-H2081,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH2081_LUNG
ACH-000395,SIDM01130,908443.0,NCI-H520,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,NCIH520_LUNG
ACH-000396,SIDM00693,753566.0,J82,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,J82_URINARY_TRACT
ACH-000399,SIDM00731,908481.0,NCI-H2196,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH2196_LUNG
ACH-000400,SIDM01096,909718.0,SK-CO-1,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,SKCO1_LARGE_INTESTINE
ACH-000401,SIDM00515,906813.0,COLO-800,Skin,Melanoma,Cutaneous Melanoma,COLO800_SKIN
ACH-000403,SIDM00778,908457.0,NCI-H747,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,NCIH747_LARGE_INTESTINE
ACH-000408,SIDM00347,735784.0,TE-5,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,TE5_OESOPHAGUS
ACH-000410,SIDM01084,909707.0,Saos-2,Bone,Osteosarcoma,Osteosarcoma,SAOS2_BONE
ACH-000411,SIDM00803,910922.0,769-P,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,769P_KIDNEY
ACH-000414,SIDM00762,1240185.0,NCI-H1944,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH1944_LUNG
ACH-000416,SIDM01150,910399.0,NCI-H838,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH838_LUNG
ACH-000417,SIDM01136,925347.0,Panc 08.13,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PANC0813_PANCREAS
ACH-000420,SIDM01194,909738.0,SNU-449,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,SNU449_LIVER
ACH-000421,SIDM00833,909755.0,SW837,Bowel,Colorectal Adenocarcinoma,Rectal Adenocarcinoma,SW837_LARGE_INTESTINE
ACH-000423,SIDM01105,909724.0,SK-MEL-3,Skin,Melanoma,Cutaneous Melanoma,SKMEL3_SKIN
ACH-000424,SIDM00419,1240221.0,TC-71,Bone,Ewing Sarcoma,Ewing Sarcoma,TC71_BONE
ACH-000425,SIDM00107,905976.0,UACC-62,Skin,Melanoma,Melanoma,UACC62_SKIN
ACH-000427,SIDM01147,908461.0,NCI-N87,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Tubular Stomach Adenocarcinoma,NCIN87_STOMACH
ACH-000428,SIDM00112,905981.0,UO-31,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,UO31_KIDNEY
ACH-000429,SIDM00849,910920.0,A-704,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,A704_KIDNEY
