ModelID,SangerModelID,COSMICID,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,CCLEName
ACH-000571,SIDM01171,687586.0,T98G,CNS/Brain,Diffuse Glioma,Glioblastoma,T98G_CENTRAL_NERVOUS_SYSTEM
ACH-000572,SIDM00857,906865.0,G-361,Skin,Melanoma,Melanoma,G361_SKIN
ACH-000573,SIDM00629,1240172.0,MDA-MB-436,Breast,Invasive Breast Carcinoma,"Breast Invasive Carcinoma, NOS",MDAMB436_BREAST
ACH-000574,SIDM01040,1240129.0,FU-OV-1,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,FUOV1_OVARY
ACH-000577,SIDM00617,1240157.0,JHH-2,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,JHH2_LIVER
ACH-000579,SIDM00108,905977.0,UACC-257,Skin,Melanoma,Melanoma,UACC257_SKIN
ACH-000580,SIDM00890,906830.0,C32,Skin,Melanoma,Melanoma,C32_SKIN
ACH-000581,SIDM01145,908446.0,SNU-16,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,SNU16_STOMACH
ACH-000583,SIDM00637,907799.0,MC116,Lymphoid,Non-Hodgkin Lymphoma,Mature B-Cell Neoplasms,MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000584,SIDM00303,1480359.0,JHOS-4,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,JHOS4_OVARY
ACH-000585,SIDM01044,753556.0,EPLC-272H,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,EPLC272H_LUNG
ACH-000586,SIDM00766,1330972.0,NCI-H1876,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH1876_LUNG
ACH-000587,SIDM00759,924244.0,NCI-H1975,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH1975_LUNG
ACH-000589,SIDM00734,687794.0,NCI-H1437,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH1437_LUNG
ACH-000595,SIDM00684,1240169.0,LN-229,CNS/Brain,Diffuse Glioma,Glioblastoma,LN229_CENTRAL_NERVOUS_SYSTEM
ACH-000596,SIDM00344,946361.0,LCLC-97TM1,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC97TM1_LUNG
ACH-000599,SIDM00455,1298526.0,PA-TU-8902,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,PATU8902_PANCREAS
ACH-000601,SIDM00505,724870.0,MIA PaCa-2,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,MIAPACA2_PANCREAS
ACH-000603,SIDM00990,753534.0,BEN,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,BEN_LUNG
ACH-000605,SIDM00328,946355.0,TE-6,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,TE6_OESOPHAGUS
ACH-000607,SIDM00552,1240166.0,KYM-1,Kidney,Rhabdoid Cancer,Rhabdoid Cancer,KYM1_SOFT_TISSUE
ACH-000609,SIDM00382,909712.0,SF126,CNS/Brain,Diffuse Glioma,Glioblastoma,SF126_CENTRAL_NERVOUS_SYSTEM
ACH-000610,SIDM00730,688018.0,NCI-H2227,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH2227_LUNG
ACH-000611,SIDM00407,1331037.0,SU-DHL-6,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",SUDHL6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000613,SIDM00806,907060.0,HOS,Bone,Osteosarcoma,Osteosarcoma,HOS_BONE
ACH-000614,SIDM00401,909706.0,RVH-421,Skin,Melanoma,Melanoma,RVH421_SKIN
ACH-000615,SIDM00081,905954.0,SK-MEL-28,Skin,Melanoma,Cutaneous Melanoma,SKMEL28_SKIN
ACH-000616,SIDM00665,1240151.0,Hs 746T,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,HS746T_STOMACH
ACH-000617,SIDM00092,905990.0,OVCAR-4,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,OVCAR4_OVARY
ACH-000619,SIDM00473,1240207.0,PE/CA-PJ15,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,PECAPJ15_UPPER_AERODIGESTIVE_TRACT
ACH-000620,SIDM00618,1298151.0,JHH-1,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,JHH1_LIVER
ACH-000621,SIDM00529,925338.0,MDA-MB-157,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,MDAMB157_BREAST
ACH-000622,SIDM00607,907282.0,KNS-42,CNS/Brain,Diffuse Glioma,Glioblastoma,KNS42_CENTRAL_NERVOUS_SYSTEM
ACH-000624,SIDM00875,907047.0,HCC1806,Breast,Breast Ductal Carcinoma In Situ,Breast Ductal Carcinoma In Situ,HCC1806_BREAST
ACH-000625,SIDM00672,1240147.0,Hep 3B2.1-7,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,HEP3B217_LIVER
ACH-000626,SIDM00417,753615.0,U266B1,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,U266B1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000627,SIDM00345,753586.0,LCLC-103H,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC103H_LUNG
ACH-000628,SIDM01127,908459.0,NCI-H596,Lung,Non-Small Cell Lung Cancer,Lung Adenosquamous Carcinoma,NCIH596_LUNG
ACH-000631,SIDM00555,907313.0,KS-1,CNS/Brain,Diffuse Glioma,Glioblastoma,KS1_CENTRAL_NERVOUS_SYSTEM
ACH-000633,SIDM00503,1290806.0,FU97,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Diffuse Type Stomach Adenocarcinoma,FU97_STOMACH
ACH-000636,SIDM00403,909702.0,RPMI-8402,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Cell Acute Lymphoblastic Leukemia,RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000637,SIDM01025,753575.0,KYSE-520,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,KYSE520_OESOPHAGUS
ACH-000638,SIDM00925,908460.0,NCI-H441,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH441_LUNG
ACH-000639,SIDM00704,1240189.0,NCI-H211,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH211_LUNG
ACH-000640,SIDM01104,909727.0,SK-MEL-31,Skin,Melanoma,Cutaneous Melanoma,SKMEL31_SKIN
ACH-000643,SIDM01062,1290922.0,HDQ-P1,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,HDQP1_BREAST
ACH-000644,SIDM00909,687448.0,COLO 829,Skin,Melanoma,Cutaneous Melanoma,COLO829_SKIN
ACH-000647,SIDM00369,753621.0,TE-1,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,TE1_OESOPHAGUS
ACH-000648,SIDM00720,908470.0,NCI-H28,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",NCIH28_PLEURA
ACH-000649,SIDM00125,905947.0,786-O,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,786O_KIDNEY
ACH-000650,SIDM01066,1240153.0,IGR-37,Skin,Melanoma,Melanoma,IGR37_SKIN
ACH-000651,SIDM00841,905962.0,SW 620,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,SW620_LARGE_INTESTINE
ACH-000652,SIDM00371,1240219.0,SUIT-2,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,SUIT2_PANCREAS
ACH-000653,SIDM01036,1327766.0,JJN-3,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,JJN3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000654,SIDM00844,909262.0,Raji,Lymphoid,Non-Hodgkin Lymphoma,Non-Hodgkin Lymphoma,RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000655,SIDM00085,905986.0,SF268,CNS/Brain,Diffuse Glioma,Astrocytoma,SF268_CENTRAL_NERVOUS_SYSTEM
ACH-000656,SIDM00423,1331038.0,SU-DHL-8,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",SUDHL8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000657,SIDM00210,906804.0,A2780,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Endometrioid Ovarian Cancer,A2780_OVARY
ACH-000660,SIDM00406,1331036.0,SU-DHL-5,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",SUDHL5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000662,SIDM00512,687780.0,COR-L23,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,CORL23_LUNG
ACH-000663,SIDM00425,1298365.0,OVTOKO,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Clear Cell Ovarian Cancer,OVTOKO_OVARY
ACH-000664,SIDM00390,909742.0,SU-DHL-1,Lymphoid,Mature T and NK Neoplasms,Anaplastic Large-Cell Lymphoma ALK Positive,SUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000665,SIDM01103,909728.0,SK-MES-1,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,SKMES1_LUNG
ACH-000666,SIDM00645,724866.0,NCI-H1355,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH1355_LUNG
ACH-000667,SIDM01069,1240145.0,HCC-44,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,HCC44_LUNG
ACH-000668,SIDM00673,907048.0,HCC70,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,HCC70_BREAST
ACH-000670,SIDM00368,713880.0,SBC-5,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SBC5_LUNG
ACH-000672,SIDM00306,910779.0,IA-LM,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,IALM_LUNG
ACH-000674,SIDM00570,1298357.0,NUGC-4,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Diffuse Type Stomach Adenocarcinoma,NUGC4_STOMACH
ACH-000675,SIDM00739,722058.0,NCI-H1734,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH1734_LUNG
ACH-000677,SIDM01163,724878.0,SW 1573,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,SW1573_LUNG
ACH-000678,SIDM00560,924250.0,MKN7,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Tubular Stomach Adenocarcinoma,MKN7_STOMACH
ACH-000679,SIDM00479,910079.0,OE-19,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,OE19_OESOPHAGUS
ACH-000680,SIDM00832,909757.0,SW948,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,SW948_LARGE_INTESTINE
ACH-000681,SIDM00903,905949.0,A549,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,A549_LUNG
ACH-000684,SIDM00611,1298168.0,KMRC-1,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,KMRC1_KIDNEY
ACH-000688,SIDM00474,1480360.0,OV7,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Mixed Ovarian Carcinoma,OV7_OVARY
ACH-000689,SIDM00454,971774.0,RH-18,Soft Tissue,Rhabdomyosarcoma,Embryonal Rhabdomyosarcoma,RH18_SOFT_TISSUE
ACH-000691,SIDM00774,749715.0,HCC2157,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,HCC2157_BREAST
ACH-000693,SIDM01030,907318.0,KYSE-180,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,KYSE180_OESOPHAGUS
ACH-000694,SIDM00325,946353.0,TE-9,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,TE9_OESOPHAGUS
ACH-000696,SIDM00090,905991.0,OVCAR-8,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,OVCAR8_OVARY
ACH-000697,SIDM00495,910935.0,A3/KAW,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000698,SIDM00523,907295.0,DMS 53,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,DMS53_LUNG
ACH-000699,SIDM00884,749712.0,HCC1395,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,HCC1395_BREAST
ACH-000702,SIDM00313,1330935.0,L-1236,Lymphoid,Hodgkin Lymphoma,Hodgkin Lymphoma,L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000703,SIDM00524,753551.0,DMS 79,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,DMS79_LUNG
ACH-000704,SIDM00480,910548.0,OAW42,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,OAW42_OVARY
ACH-000706,SIDM00119,905970.0,EKVX,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,EKVX_LUNG
ACH-000708,SIDM00215,1659929.0,SNU-283,Bowel,Colorectal Adenocarcinoma,Rectal Adenocarcinoma,SNU283_LARGE_INTESTINE
ACH-000711,SIDM01037,1298157.0,JIMT-1,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,JIMT1_BREAST
ACH-000713,SIDM00919,906825.0,Caov-3,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,CAOV3_OVARY
ACH-000714,SIDM00608,1659817.0,KMS-11,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000716,SIDM00418,1240223.0,TT2609-C02,Thyroid,Well-Differentiated Thyroid Cancer,Follicular Thyroid Cancer,TT2609C02_THYROID
ACH-000717,SIDM00956,906817.0,COLO-680N,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,COLO680N_OESOPHAGUS
ACH-000718,SIDM00728,724874.0,NCI-H2291,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH2291_LUNG
ACH-000719,SIDM00352,909699.0,RMG-I,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Clear Cell Ovarian Cancer,RMGI_OVARY
ACH-000720,SIDM01190,687459.0,TCCSUP,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,TCCSUP_URINARY_TRACT
ACH-000722,SIDM01197,910905.0,SNU-C1,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,SNUC1_LARGE_INTESTINE
ACH-000724,SIDM00678,907066.0,HT-1376,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,HT1376_URINARY_TRACT
ACH-000725,SIDM00870,1290906.0,HCC202,Breast,Breast Ductal Carcinoma In Situ,Breast Ductal Carcinoma In Situ,HCC202_BREAST
ACH-000727,SIDM00711,1330973.0,NCI-H2066,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH2066_LUNG
ACH-000729,SIDM00760,688010.0,NCI-H1963,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH1963_LUNG
ACH-000730,SIDM00080,905956.0,SK-MEL-5,Skin,Melanoma,Cutaneous Melanoma,SKMEL5_SKIN
ACH-000733,SIDM00769,687807.0,NCI-H1838,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH1838_LUNG
ACH-000738,SIDM00581,687568.0,GB-1,CNS/Brain,Diffuse Glioma,Glioblastoma,GB1_CENTRAL_NERVOUS_SYSTEM
ACH-000740,SIDM00796,906794.0,A-253,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,A253_SALIVARY_GLAND
ACH-000743,SIDM00521,1297439.0,COR-L95,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,CORL95_LUNG
ACH-000744,SIDM00747,687798.0,NCI-H1623,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH1623_LUNG
ACH-000745,SIDM00434,1330950.0,MOLP-8,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000747,SIDM00740,908474.0,NCI-H1703,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,NCIH1703_LUNG
ACH-000748,SIDM01112,909717.0,SJSA-1,Bone,Osteosarcoma,Osteosarcoma,SJSA1_BONE
ACH-000749,SIDM00522,687985.0,DMS 273,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,DMS273_LUNG
ACH-000750,SIDM00149,905974.0,LOX IMVI,Skin,Melanoma,Melanoma,LOXIMVI_SKIN
ACH-000751,SIDM00458,1330985.0,OCI-M1,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,OCIM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000752,SIDM00761,1240186.0,NCI-H196,Lung,SMARCA4-deficient undifferentiated tumor,SMARCA4-deficient undifferentiated tumor,NCIH196_LUNG
ACH-000754,SIDM00327,907322.0,L-428,Lymphoid,Hodgkin Lymphoma,Hodgkin Lymphoma,L428_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000755,SIDM00772,749716.0,HCC2218,Breast,Breast Ductal Carcinoma In Situ,Breast Ductal Carcinoma In Situ,HCC2218_BREAST
ACH-000756,SIDM00273,906871.0,GI-1,CNS/Brain,Diffuse Glioma,Gliosarcoma,GI1_CENTRAL_NERVOUS_SYSTEM
ACH-000757,SIDM00810,910851.0,A427,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,A427_LUNG
ACH-000759,SIDM00633,908120.0,MDA-MB-175-VII,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,MDAMB175VII_BREAST
ACH-000763,SIDM01265,1659818.0,MM1-S,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,MM1S_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000766,SIDM00746,687799.0,NCI-H1648,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH1648_LUNG
ACH-000767,SIDM01128,688025.0,NCI-H526,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH526_LUNG
ACH-000768,SIDM00146,905960.0,MDA-MB-231,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,MDAMB231_BREAST
ACH-000769,SIDM00548,687787.0,LK-2,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LK2_LUNG
ACH-000770,SIDM00363,909253.0,P31/FUJ,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000772,SIDM01173,924248.0,TE 441.T,Soft Tissue,CIC-DUX4 Sarcoma,CIC-DUX4 Sarcoma,TE441T_SOFT_TISSUE
ACH-000775,SIDM01119,724855.0,NCI-H727,Lung,Lung Neuroendocrine Tumor,Lung Carcinoid,NCIH727_LUNG
ACH-000776,SIDM00567,909248.0,ONS-76,CNS/Brain,Embryonal Tumor,Medulloblastoma,ONS76_CENTRAL_NERVOUS_SYSTEM
ACH-000778,SIDM00589,907061.0,HSC-3,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,HSC3_UPPER_AERODIGESTIVE_TRACT
ACH-000780,SIDM00652,908468.0,NCI-H1105,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH1105_LUNG
ACH-000781,SIDM00753,1240187.0,NCI-H2023,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH2023_LUNG
ACH-000783,SIDM00920,946382.0,CAMA-1,Breast,Invasive Breast Carcinoma,Breast Invasive Lobular Carcinoma,CAMA1_BREAST
ACH-000784,SIDM01024,753576.0,KYSE-70,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,KYSE70_OESOPHAGUS
ACH-000786,SIDM00845,906831.0,Daudi,Lymphoid,Mature B-Cell Neoplasms,Burkitt Lymphoma,DAUDI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000787,SIDM00339,753592.0,LXF-289,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LXF289_LUNG
ACH-000788,SIDM00797,906792.0,A2058,Skin,Melanoma,Melanoma,A2058_SKIN
ACH-000789,SIDM01116,925341.0,NCI-H810,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,NCIH810_LUNG
ACH-000790,SIDM01078,724872.0,SHP-77,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SHP77_LUNG
ACH-000792,SIDM00988,910698.0,BFTC-909,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,BFTC909_KIDNEY
ACH-000793,SIDM00687,907276.0,KATO III,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Signet Ring Cell Carcinoma of the Stomach,KATOIII_STOMACH
ACH-000794,SIDM00485,1240121.0,BICR 22,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,BICR22_UPPER_AERODIGESTIVE_TRACT
ACH-000795,SIDM00433,908146.0,MOLT-13,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Cell Acute Lymphoblastic Leukemia,MOLT13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000800,SIDM00965,688023.0,NCI-H446,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH446_LUNG
ACH-000802,SIDM00989,910926.0,BFTC-905,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,BFTC905_URINARY_TRACT
ACH-000803,SIDM00143,910692.0,COLO 668,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,COLO668_LUNG
ACH-000804,SIDM00578,949179.0,NB-1,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,NB1_AUTONOMIC_GANGLIA
ACH-000805,SIDM00284,906818.0,COLO-679,Skin,Melanoma,Cutaneous Melanoma,COLO679_SKIN
ACH-000806,SIDM00329,907323.0,L-540,Lymphoid,Hodgkin Lymphoma,Hodgkin Lymphoma,L540_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000809,SIDM01028,753574.0,KYSE-410,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,KYSE410_OESOPHAGUS
ACH-000810,SIDM00392,909726.0,SK-MEL-30,Skin,Melanoma,Cutaneous Melanoma,SKMEL30_SKIN
ACH-000811,SIDM00079,905959.0,SK-OV-3,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,SKOV3_OVARY
ACH-000812,SIDM00955,1240125.0,COLO-783,Skin,Melanoma,Melanoma,COLO783_SKIN
ACH-000814,SIDM00663,1298144.0,Hs 939.T,Skin,Melanoma,Melanoma,HS939T_SKIN
ACH-000815,SIDM01018,909976.0,KM-H2,Lymphoid,Hodgkin Lymphoma,Hodgkin Lymphoma,KMH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000816,SIDM01129,908483.0,NCI-H524,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH524_LUNG
ACH-000817,SIDM00087,905964.0,RPMI 8226,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000818,SIDM00892,949093.0,BT-483,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,BT483_BREAST
ACH-000819,SIDM00685,1240168.0,LN-18,CNS/Brain,Diffuse Glioma,Glioblastoma,LN18_CENTRAL_NERVOUS_SYSTEM
ACH-000821,SIDM01048,1297447.0,EJM,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,EJM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000822,SIDM01106,909725.0,SK-MEL-24,Skin,Melanoma,Melanoma,SKMEL24_SKIN
ACH-000823,SIDM01032,753573.0,KYSE-140,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,KYSE140_OESOPHAGUS
ACH-000824,SIDM01026,907321.0,KYSE-510,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,KYSE510_OESOPHAGUS
ACH-000825,SIDM00134,905973.0,HOP-92,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,HOP92_LUNG
ACH-000826,SIDM00939,753540.0,CAL-12T,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,CAL12T_LUNG
ACH-000827,SIDM00973,1299081.0,WM793,Skin,Melanoma,Melanoma,WM793_SKIN
ACH-000828,SIDM00971,909907.0,ZR-75-30,Breast,Invasive Breast Carcinoma,Breast Invasive Lobular Carcinoma,ZR7530_BREAST
ACH-000830,SIDM00697,908469.0,NCI-H1436,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH1436_LUNG
ACH-000832,SIDM00937,910916.0,CAL 27,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,CAL27_UPPER_AERODIGESTIVE_TRACT
ACH-000835,SIDM00853,906999.0,GCT,Soft Tissue,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,GCT_SOFT_TISSUE
ACH-000837,SIDM00117,,NCI-H322,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH322_LUNG
ACH-000838,SIDM00993,1295741.0,AMO-1,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000840,SIDM01070,1240144.0,HCC-366,Lung,Non-Small Cell Lung Cancer,Lung Adenosquamous Carcinoma,HCC366_LUNG
ACH-000841,SIDM00708,724834.0,NCI-H2087,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH2087_LUNG
ACH-000843,SIDM00598,1240142.0,HARA,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,HARA_LUNG
ACH-000846,SIDM00860,906863.0,FaDu,Head and Neck,Head and Neck Squamous Cell Carcinoma,Hypopharynx Squamous Cell Carcinoma,FADU_UPPER_AERODIGESTIVE_TRACT
ACH-000847,SIDM00290,907055.0,HGC-27,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,HGC27_STOMACH
