ModelID,SangerModelID,COSMICID,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,CCLEName,selected_phenotype
ACH-000469,SIDM00316,909905.0,YH-13,CNS/Brain,Diffuse Glioma,Glioblastoma,YH13_CENTRAL_NERVOUS_SYSTEM,2.7503672
ACH-000470,SIDM00834,909748.0,SW1463,Bowel,Colorectal Adenocarcinoma,Rectal Adenocarcinoma,SW1463_LARGE_INTESTINE,3.416053
ACH-000472,SIDM00590,753562.0,HSC-2,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,HSC2_UPPER_AERODIGESTIVE_TRACT,2.1987195
ACH-000473,SIDM00402,909704.0,RT-112,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,RT112_URINARY_TRACT,2.6386936
ACH-000475,SIDM00586,1298146.0,huH-1,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,HUH1_LIVER,3.4660783
ACH-000476,SIDM00616,1240158.0,JHH-4,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,JHH4_LIVER,3.1532602
ACH-000478,SIDM01180,909736.0,SNU-387,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,SNU387_LIVER,3.486484
ACH-000480,SIDM00585,907071.0,HuH-7,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,HUH7_LIVER,3.827364
ACH-000481,SIDM00716,687815.0,NCI-H2170,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,NCIH2170_LUNG,2.531234
ACH-000482,SIDM00356,1298537.0,RERF-LC-KJ,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,RERFLCKJ_LUNG,3.0109384
ACH-000484,SIDM00318,1240224.0,VMRC-RCW,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,VMRCRCW_KIDNEY,4.2135754
ACH-000486,SIDM01033,907312.0,KU-19-19,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,KU1919_URINARY_TRACT,2.2250667
ACH-000488,SIDM00348,946354.0,TE-11,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,TE11_OESOPHAGUS,1.8312387
ACH-000489,SIDM00835,909746.0,SW1116,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,SW1116_LARGE_INTESTINE,4.0614533
ACH-000491,SIDM00779,908458.0,NCI-H716,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,NCIH716_LARGE_INTESTINE,2.952898
ACH-000493,SIDM01199,909737.0,SNU-423,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,SNU423_LIVER,3.260429
ACH-000496,SIDM00771,724868.0,NCI-H1792,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH1792_LUNG,2.3124018
ACH-000501,SIDM00776,907792.0,LS123,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,LS123_LARGE_INTESTINE,4.1735196
ACH-000504,SIDM00095,905982.0,SNB75,CNS/Brain,Diffuse Glioma,Glioblastoma,SNB75_CENTRAL_NERVOUS_SYSTEM,3.2480915
ACH-000505,SIDM00353,1298539.0,RKN,Soft Tissue,Leiomyosarcoma,Leiomyosarcoma,RKN_SOFT_TISSUE,4.0810213
ACH-000506,SIDM00698,910899.0,NCI-H146,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH146_LUNG,2.5456388
ACH-000508,SIDM00506,906808.0,COR-L88,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,CORL88_LUNG,3.368815
ACH-000510,SIDM00649,724831.0,NCI-H1299,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,NCIH1299_LUNG,3.1853216
ACH-000514,SIDM00653,687997.0,NCI-H1092,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH1092_LUNG,3.9793384
ACH-000515,SIDM01071,1303901.0,HCC-33,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,HCC33_LUNG,2.528465
ACH-000516,SIDM00929,1290765.0,CAL-78,Bone,Chondrosarcoma,Dedifferentiated Chondrosarcoma,CAL78_BONE,3.2042146
ACH-000518,SIDM00942,753541.0,CAL-33,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,CAL33_UPPER_AERODIGESTIVE_TRACT,2.508763
ACH-000521,SIDM00715,722045.0,NCI-H2030,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH2030_LUNG,2.810186
ACH-000522,SIDM01182,724838.0,UM-UC-3,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,UMUC3_URINARY_TRACT,3.2639387
ACH-000524,SIDM00554,909975.0,KURAMOCHI,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,KURAMOCHI_OVARY,4.055274
ACH-000525,SIDM00733,688015.0,NCI-H2171,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH2171_LUNG,1.5078238
ACH-000527,SIDM00564,1240198.0,OVISE,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Clear Cell Ovarian Cancer,OVISE_OVARY,3.396932
ACH-000528,SIDM00494,906791.0,ABC-1,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,ABC1_LUNG,3.3535755
ACH-000530,SIDM00865,687983.0,DMS 114,Lung,SMARCA4-deficient undifferentiated tumor,SMARCA4-deficient undifferentiated tumor,DMS114_LUNG,3.0685453
ACH-000532,SIDM00194,1660035.0,SNU-61,Bowel,Colorectal Adenocarcinoma,Rectal Adenocarcinoma,SNU61_LARGE_INTESTINE,3.8827899
ACH-000534,SIDM00413,1331050.0,WSU-DLCL2,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",WSUDLCL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.9528941
ACH-000535,SIDM00132,906693.0,BxPC-3,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,BXPC3_PANCREAS,3.0998528
