ModelID,SangerModelID,COSMICID,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,CCLEName,selected_phenotype
ACH-000663,SIDM00425,1298365.0,OVTOKO,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Clear Cell Ovarian Cancer,OVTOKO_OVARY,3.3643591
ACH-000664,SIDM00390,909742.0,SU-DHL-1,Lymphoid,Mature T and NK Neoplasms,Anaplastic Large-Cell Lymphoma ALK Positive,SUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.6624637
ACH-000665,SIDM01103,909728.0,SK-MES-1,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,SKMES1_LUNG,3.3547993
ACH-000666,SIDM00645,724866.0,NCI-H1355,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH1355_LUNG,3.9520357
ACH-000667,SIDM01069,1240145.0,HCC-44,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,HCC44_LUNG,2.3789976
ACH-000668,SIDM00673,907048.0,HCC70,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,HCC70_BREAST,2.8706758
ACH-000670,SIDM00368,713880.0,SBC-5,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SBC5_LUNG,2.35794
ACH-000672,SIDM00306,910779.0,IA-LM,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,IALM_LUNG,4.0747957
ACH-000674,SIDM00570,1298357.0,NUGC-4,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Diffuse Type Stomach Adenocarcinoma,NUGC4_STOMACH,4.4055095
ACH-000675,SIDM00739,722058.0,NCI-H1734,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH1734_LUNG,2.1838305
ACH-000677,SIDM01163,724878.0,SW 1573,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,SW1573_LUNG,4.6554375
ACH-000678,SIDM00560,924250.0,MKN7,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Tubular Stomach Adenocarcinoma,MKN7_STOMACH,3.729723
ACH-000679,SIDM00479,910079.0,OE-19,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,OE19_OESOPHAGUS,2.9980378
ACH-000680,SIDM00832,909757.0,SW948,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,SW948_LARGE_INTESTINE,3.3298004
ACH-000681,SIDM00903,905949.0,A549,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,A549_LUNG,2.2524064
ACH-000684,SIDM00611,1298168.0,KMRC-1,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,KMRC1_KIDNEY,3.377124
ACH-000688,SIDM00474,1480360.0,OV7,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Mixed Ovarian Carcinoma,OV7_OVARY,2.433233
ACH-000689,SIDM00454,971774.0,RH-18,Soft Tissue,Rhabdomyosarcoma,Embryonal Rhabdomyosarcoma,RH18_SOFT_TISSUE,3.0850692
ACH-000691,SIDM00774,749715.0,HCC2157,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,HCC2157_BREAST,2.2115724
ACH-000693,SIDM01030,907318.0,KYSE-180,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,KYSE180_OESOPHAGUS,2.5089166
ACH-000694,SIDM00325,946353.0,TE-9,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,TE9_OESOPHAGUS,3.083956
ACH-000696,SIDM00090,905991.0,OVCAR-8,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,OVCAR8_OVARY,2.426731
ACH-000697,SIDM00495,910935.0,A3/KAW,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.0140233
ACH-000698,SIDM00523,907295.0,DMS 53,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,DMS53_LUNG,3.5145988
ACH-000699,SIDM00884,749712.0,HCC1395,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,HCC1395_BREAST,2.688385
ACH-000702,SIDM00313,1330935.0,L-1236,Lymphoid,Hodgkin Lymphoma,Hodgkin Lymphoma,L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.8672222
ACH-000703,SIDM00524,753551.0,DMS 79,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,DMS79_LUNG,3.038671
ACH-000704,SIDM00480,910548.0,OAW42,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,OAW42_OVARY,3.3869824
ACH-000706,SIDM00119,905970.0,EKVX,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,EKVX_LUNG,4.2579417
ACH-000708,SIDM00215,1659929.0,SNU-283,Bowel,Colorectal Adenocarcinoma,Rectal Adenocarcinoma,SNU283_LARGE_INTESTINE,3.0865562
ACH-000711,SIDM01037,1298157.0,JIMT-1,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,JIMT1_BREAST,3.3201785
ACH-000713,SIDM00919,906825.0,Caov-3,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,CAOV3_OVARY,2.5122619
ACH-000714,SIDM00608,1659817.0,KMS-11,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.7311566
ACH-000716,SIDM00418,1240223.0,TT2609-C02,Thyroid,Well-Differentiated Thyroid Cancer,Follicular Thyroid Cancer,TT2609C02_THYROID,4.5630536
ACH-000717,SIDM00956,906817.0,COLO-680N,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,COLO680N_OESOPHAGUS,4.302791
ACH-000718,SIDM00728,724874.0,NCI-H2291,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH2291_LUNG,4.1710706
ACH-000719,SIDM00352,909699.0,RMG-I,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Clear Cell Ovarian Cancer,RMGI_OVARY,4.669513
ACH-000720,SIDM01190,687459.0,TCCSUP,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,TCCSUP_URINARY_TRACT,3.8436925
ACH-000722,SIDM01197,910905.0,SNU-C1,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,SNUC1_LARGE_INTESTINE,3.5941637
ACH-000724,SIDM00678,907066.0,HT-1376,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,HT1376_URINARY_TRACT,4.1653934
ACH-000725,SIDM00870,1290906.0,HCC202,Breast,Breast Ductal Carcinoma In Situ,Breast Ductal Carcinoma In Situ,HCC202_BREAST,1.961374
ACH-000729,SIDM00760,688010.0,NCI-H1963,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH1963_LUNG,2.3241723
ACH-000730,SIDM00080,905956.0,SK-MEL-5,Skin,Melanoma,Cutaneous Melanoma,SKMEL5_SKIN,3.3063674
ACH-000733,SIDM00769,687807.0,NCI-H1838,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH1838_LUNG,4.5167875
ACH-000738,SIDM00581,687568.0,GB-1,CNS/Brain,Diffuse Glioma,Glioblastoma,GB1_CENTRAL_NERVOUS_SYSTEM,3.744014
ACH-000740,SIDM00796,906794.0,A-253,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,A253_SALIVARY_GLAND,2.9934196
ACH-000743,SIDM00521,1297439.0,COR-L95,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,CORL95_LUNG,3.3056467
ACH-000744,SIDM00747,687798.0,NCI-H1623,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH1623_LUNG,2.9625852
ACH-000745,SIDM00434,1330950.0,MOLP-8,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.6808387
ACH-000747,SIDM00740,908474.0,NCI-H1703,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,NCIH1703_LUNG,2.1140318
ACH-000748,SIDM01112,909717.0,SJSA-1,Bone,Osteosarcoma,Osteosarcoma,SJSA1_BONE,2.7947278
ACH-000749,SIDM00522,687985.0,DMS 273,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,DMS273_LUNG,2.381069
ACH-000750,SIDM00149,905974.0,LOX IMVI,Skin,Melanoma,Melanoma,LOXIMVI_SKIN,2.0358007
ACH-000751,SIDM00458,1330985.0,OCI-M1,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,OCIM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.4492587
ACH-000752,SIDM00761,1240186.0,NCI-H196,Lung,SMARCA4-deficient undifferentiated tumor,SMARCA4-deficient undifferentiated tumor,NCIH196_LUNG,3.9020436
ACH-000754,SIDM00327,907322.0,L-428,Lymphoid,Hodgkin Lymphoma,Hodgkin Lymphoma,L428_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2.3271425
ACH-000755,SIDM00772,749716.0,HCC2218,Breast,Breast Ductal Carcinoma In Situ,Breast Ductal Carcinoma In Situ,HCC2218_BREAST,2.8294885
ACH-000756,SIDM00273,906871.0,GI-1,CNS/Brain,Diffuse Glioma,Gliosarcoma,GI1_CENTRAL_NERVOUS_SYSTEM,2.332366
ACH-000757,SIDM00810,910851.0,A427,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,A427_LUNG,2.0944612
ACH-000759,SIDM00633,908120.0,MDA-MB-175-VII,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,MDAMB175VII_BREAST,3.8811045
ACH-000763,SIDM01265,1659818.0,MM1-S,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,MM1S_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.5983614
ACH-000766,SIDM00746,687799.0,NCI-H1648,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH1648_LUNG,2.3136382
ACH-000767,SIDM01128,688025.0,NCI-H526,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH526_LUNG,2.2581794
ACH-000768,SIDM00146,905960.0,MDA-MB-231,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,MDAMB231_BREAST,2.8637645
ACH-000769,SIDM00548,687787.0,LK-2,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LK2_LUNG,2.9858735
ACH-000770,SIDM00363,909253.0,P31/FUJ,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.8264871
ACH-000772,SIDM01173,924248.0,TE 441.T,Soft Tissue,CIC-DUX4 Sarcoma,CIC-DUX4 Sarcoma,TE441T_SOFT_TISSUE,2.3980486
ACH-000775,SIDM01119,724855.0,NCI-H727,Lung,Lung Neuroendocrine Tumor,Lung Carcinoid,NCIH727_LUNG,4.023495
ACH-000776,SIDM00567,909248.0,ONS-76,CNS/Brain,Embryonal Tumor,Medulloblastoma,ONS76_CENTRAL_NERVOUS_SYSTEM,3.0714412
ACH-000778,SIDM00589,907061.0,HSC-3,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,HSC3_UPPER_AERODIGESTIVE_TRACT,2.3653493
ACH-000780,SIDM00652,908468.0,NCI-H1105,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH1105_LUNG,3.1215734
ACH-000781,SIDM00753,1240187.0,NCI-H2023,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH2023_LUNG,3.060528
ACH-000783,SIDM00920,946382.0,CAMA-1,Breast,Invasive Breast Carcinoma,Breast Invasive Lobular Carcinoma,CAMA1_BREAST,2.8809457
ACH-000784,SIDM01024,753576.0,KYSE-70,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,KYSE70_OESOPHAGUS,4.2965016
ACH-000786,SIDM00845,906831.0,Daudi,Lymphoid,Mature B-Cell Neoplasms,Burkitt Lymphoma,DAUDI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2.0411367
ACH-000787,SIDM00339,753592.0,LXF-289,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LXF289_LUNG,2.6424723
ACH-000788,SIDM00797,906792.0,A2058,Skin,Melanoma,Melanoma,A2058_SKIN,2.5119052
ACH-000789,SIDM01116,925341.0,NCI-H810,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,NCIH810_LUNG,3.15267
ACH-000790,SIDM01078,724872.0,SHP-77,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SHP77_LUNG,2.5542154
ACH-000792,SIDM00988,910698.0,BFTC-909,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,BFTC909_KIDNEY,2.63855
ACH-000793,SIDM00687,907276.0,KATO III,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Signet Ring Cell Carcinoma of the Stomach,KATOIII_STOMACH,3.8247206
ACH-000794,SIDM00485,1240121.0,BICR 22,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,BICR22_UPPER_AERODIGESTIVE_TRACT,2.428048
ACH-000800,SIDM00965,688023.0,NCI-H446,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH446_LUNG,2.204636
ACH-000802,SIDM00989,910926.0,BFTC-905,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,BFTC905_URINARY_TRACT,1.9193524
ACH-000803,SIDM00143,910692.0,COLO 668,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,COLO668_LUNG,2.9450889
ACH-000804,SIDM00578,949179.0,NB-1,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,NB1_AUTONOMIC_GANGLIA,2.803366
ACH-000805,SIDM00284,906818.0,COLO-679,Skin,Melanoma,Cutaneous Melanoma,COLO679_SKIN,3.1357214
ACH-000806,SIDM00329,907323.0,L-540,Lymphoid,Hodgkin Lymphoma,Hodgkin Lymphoma,L540_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.9118925
ACH-000809,SIDM01028,753574.0,KYSE-410,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,KYSE410_OESOPHAGUS,4.053365
ACH-000810,SIDM00392,909726.0,SK-MEL-30,Skin,Melanoma,Cutaneous Melanoma,SKMEL30_SKIN,2.6966863
ACH-000811,SIDM00079,905959.0,SK-OV-3,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,SKOV3_OVARY,4.2102413
ACH-000812,SIDM00955,1240125.0,COLO-783,Skin,Melanoma,Melanoma,COLO783_SKIN,2.491274
ACH-000814,SIDM00663,1298144.0,Hs 939.T,Skin,Melanoma,Melanoma,HS939T_SKIN,2.5816085
ACH-000815,SIDM01018,909976.0,KM-H2,Lymphoid,Hodgkin Lymphoma,Hodgkin Lymphoma,KMH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2.3883064
ACH-000816,SIDM01129,908483.0,NCI-H524,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH524_LUNG,2.0688424
ACH-000817,SIDM00087,905964.0,RPMI 8226,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.8268
ACH-000818,SIDM00892,949093.0,BT-483,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,BT483_BREAST,5.5768514
ACH-000819,SIDM00685,1240168.0,LN-18,CNS/Brain,Diffuse Glioma,Glioblastoma,LN18_CENTRAL_NERVOUS_SYSTEM,2.9913673
ACH-000821,SIDM01048,1297447.0,EJM,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,EJM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2.6193593
ACH-000822,SIDM01106,909725.0,SK-MEL-24,Skin,Melanoma,Melanoma,SKMEL24_SKIN,3.361832
ACH-000823,SIDM01032,753573.0,KYSE-140,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,KYSE140_OESOPHAGUS,2.5006347
ACH-000824,SIDM01026,907321.0,KYSE-510,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,KYSE510_OESOPHAGUS,2.6448498
ACH-000825,SIDM00134,905973.0,HOP-92,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,HOP92_LUNG,3.6103225
ACH-000826,SIDM00939,753540.0,CAL-12T,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,CAL12T_LUNG,2.7089014
ACH-000827,SIDM00973,1299081.0,WM793,Skin,Melanoma,Melanoma,WM793_SKIN,2.6254745
ACH-000828,SIDM00971,909907.0,ZR-75-30,Breast,Invasive Breast Carcinoma,Breast Invasive Lobular Carcinoma,ZR7530_BREAST,4.74302
ACH-000830,SIDM00697,908469.0,NCI-H1436,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH1436_LUNG,2.8650806
ACH-000832,SIDM00937,910916.0,CAL 27,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,CAL27_UPPER_AERODIGESTIVE_TRACT,2.5376348
ACH-000835,SIDM00853,906999.0,GCT,Soft Tissue,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,GCT_SOFT_TISSUE,3.1947262
ACH-000837,SIDM00117,,NCI-H322,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH322_LUNG,2.8814988
ACH-000838,SIDM00993,1295741.0,AMO-1,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.1405727
ACH-000840,SIDM01070,1240144.0,HCC-366,Lung,Non-Small Cell Lung Cancer,Lung Adenosquamous Carcinoma,HCC366_LUNG,3.3235266
ACH-000841,SIDM00708,724834.0,NCI-H2087,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH2087_LUNG,3.929902
ACH-000843,SIDM00598,1240142.0,HARA,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,HARA_LUNG,2.322932
ACH-000846,SIDM00860,906863.0,FaDu,Head and Neck,Head and Neck Squamous Cell Carcinoma,Hypopharynx Squamous Cell Carcinoma,FADU_UPPER_AERODIGESTIVE_TRACT,2.6673708
ACH-000847,SIDM00290,907055.0,HGC-27,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,HGC27_STOMACH,2.0789177
ACH-000848,SIDM00614,1240160.0,JHH-7,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,JHH7_LIVER,3.8176317
ACH-000849,SIDM00628,908123.0,MDA-MB-468,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,MDAMB468_BREAST,2.210709
ACH-000852,SIDM00658,1298347.0,NCI-H1435,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH1435_LUNG,3.3583937
ACH-000853,SIDM01122,687829.0,NCI-H661,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,NCIH661_LUNG,3.7115154
ACH-000855,SIDM01031,907317.0,KYSE-150,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,KYSE150_OESOPHAGUS,2.1720104
ACH-000856,SIDM00933,910927.0,CAL-51,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,CAL51_BREAST,2.5271854
ACH-000857,SIDM00928,910852.0,CAL-85-1,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,CAL851_BREAST,3.069577
ACH-000858,SIDM00606,753569.0,KNS-62,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,KNS62_LUNG,3.1581163
ACH-000859,SIDM00872,749709.0,HCC1954,Breast,Breast Ductal Carcinoma In Situ,Breast Ductal Carcinoma In Situ,HCC1954_BREAST,2.785158
ACH-000860,SIDM00718,908465.0,NCI-H358,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH358_LUNG,3.5186863
ACH-000861,SIDM00133,905972.0,HOP-62,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,HOP62_LUNG,3.707971
ACH-000863,SIDM00867,906835.0,DBTRG-05MG,CNS/Brain,Diffuse Glioma,Glioblastoma,DBTRG05MG_CENTRAL_NERVOUS_SYSTEM,4.9221945
ACH-000864,SIDM00142,910691.0,COLO 684,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,COLO684_ENDOMETRIUM,3.034808
ACH-000865,SIDM01027,907320.0,KYSE-450,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,KYSE450_OESOPHAGUS,2.9743762
ACH-000866,SIDM00654,687995.0,NCI-H1048,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH1048_LUNG,2.6488745
ACH-000867,SIDM00924,687596.0,ChaGo-K-1,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,CHAGOK1_LUNG,3.1251252
ACH-000869,SIDM00750,1298348.0,NCI-H1568,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH1568_LUNG,3.9160483
ACH-000871,SIDM00927,753605.0,NCI-H510,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,NCIH510_LUNG,2.4406805
ACH-000873,SIDM01029,907319.0,KYSE-270,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,KYSE270_OESOPHAGUS,2.7416215
ACH-000874,SIDM01086,909703.0,RS4;11,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma with t(v;11q23.3);KMT2A Rearranged,RS411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.5069107
ACH-000875,SIDM00726,687820.0,NCI-H2347,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH2347_LUNG,4.8251753
ACH-000876,SIDM00630,924240.0,MDA-MB-415,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,MDAMB415_BREAST,2.6749794
ACH-000878,SIDM01072,1240143.0,HCC-15,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,HCC15_LUNG,3.2601907
ACH-000879,SIDM00334,908130.0,MFE-296,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,MFE296_ENDOMETRIUM,3.4683986
ACH-000880,SIDM00850,906790.0,AGS,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,AGS_STOMACH,1.8908116
ACH-000881,SIDM00336,908125.0,MEL-JUSO,Skin,Melanoma,Cutaneous Melanoma,MELJUSO_SKIN,3.482413
ACH-000882,SIDM01060,907169.0,IGR-1,Skin,Melanoma,Melanoma,IGR1_SKIN,2.9971263
ACH-000883,SIDM01164,909750.0,SW 1783,CNS/Brain,Diffuse Glioma,Anaplastic Astrocytoma,SW1783_CENTRAL_NERVOUS_SYSTEM,2.5410597
ACH-000885,SIDM01169,1240222.0,TOV-21G,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Clear Cell Ovarian Cancer,TOV21G_OVARY,2.7343917
ACH-000886,SIDM00756,724873.0,NCI-H2009,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH2009_LUNG,2.8017347
ACH-000888,SIDM00755,908463.0,NCI-H1793,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH1793_LUNG,4.654692
ACH-000890,SIDM01156,1299062.0,SW 1271,Lung,SMARCA4-deficient undifferentiated tumor,SMARCA4-deficient undifferentiated tumor,SW1271_LUNG,4.24356
ACH-000892,SIDM00751,753600.0,NCI-H1563,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH1563_LUNG,3.5271788
ACH-000893,SIDM00744,910900.0,NCI-H1651,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH1651_LUNG,2.8711352
ACH-000894,SIDM00768,1240183.0,NCI-H1869,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,NCIH1869_LUNG,3.668288
ACH-000896,SIDM00983,906797.0,647-V,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,647V_URINARY_TRACT,2.9111023
ACH-000900,SIDM00138,905942.0,NCI-H23,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH23_LUNG,2.7962413
ACH-000902,SIDM00938,924106.0,CAL-148,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,CAL148_BREAST,2.049206
ACH-000903,SIDM00213,906864.0,FTC-133,Thyroid,Well-Differentiated Thyroid Cancer,Follicular Thyroid Cancer,FTC133_THYROID,3.0611665
ACH-000905,SIDM00807,687452.0,5637,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,5637_URINARY_TRACT,2.8775182
ACH-000906,SIDM00861,1240128.0,ES-2,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Clear Cell Ovarian Cancer,ES2_OVARY,2.8482797
ACH-000910,SIDM00272,908122.0,MDA-MB-453,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,MDAMB453_BREAST,2.3178391
ACH-000911,SIDM00572,908455.0,NUGC-3,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,NUGC3_STOMACH,2.8841913
ACH-000913,SIDM01043,907000.0,ESS-1,Uterus,Uterine Sarcoma/Mesenchymal,Endometrial Stromal Sarcoma,ESS1_ENDOMETRIUM,1.9586132
ACH-000914,SIDM00661,907063.0,HT,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2.0678632
ACH-000915,SIDM01059,907171.0,IPC-298,Skin,Melanoma,Cutaneous Melanoma,IPC298_SKIN,2.1685574
ACH-000916,SIDM00749,908472.0,NCI-H1573,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,NCIH1573_LUNG,3.686348
ACH-000917,SIDM00250,1503371.0,TE-4,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,TE4_OESOPHAGUS,2.764992
ACH-000918,SIDM00431,908147.0,MOLT-16,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Lymphoblastic Leukemia/Lymphoma,MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.1018654
ACH-000919,SIDM00602,1240155.0,IM95,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,IM95_STOMACH,2.7893217
