File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Tissue Type	Tumor Descriptor	Specimen Type	Preservation Method
a4af42db-cc19-435c-879b-821c7350060c	f7e5a271-f18a-48ff-ad17-955b43193209.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-OV	TCGA-24-2033	TCGA-24-2033-01A	Tumor	Primary	Unknown	Unknown
a4b7abff-6a07-45d1-bda8-b13676719631	56df84b4-b66f-439b-be75-4e44349b07d8.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LAML	TCGA-AB-2995	TCGA-AB-2995-03A	Tumor	Primary	Peripheral Blood NOS	Unknown
a4b7be2c-b43d-4ecb-8a8d-4dcad180e09e	62348e54-dbaa-4f6a-ad80-d7716de6124c.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-PRAD	TCGA-HC-A6AP	TCGA-HC-A6AP-01A	Tumor	Primary	Solid Tissue	Unknown
a4ba7f9a-5470-4fda-b784-8ffe637fbbba	09794ef5-c23a-47e5-ba6b-d901873d6b8c.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-THCA	TCGA-EM-A3OB	TCGA-EM-A3OB-01A	Tumor	Primary	Solid Tissue	Unknown
a4bbc8f7-3a4d-421b-984d-1dc3552fd600	ce2f4e9e-a15d-4484-92c7-37e44a5816bd.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LUSC	TCGA-39-5028	TCGA-39-5028-01A	Tumor	Primary	Unknown	Unknown
a4bcb6d0-3d39-4e0e-9d74-e85f17064d78	21ba6804-286f-4a59-8a86-dcc9637dade3.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LGG	TCGA-P5-A736	TCGA-P5-A736-01A	Tumor	Primary	Unknown	OCT
a4c057c3-06ce-446e-a9a1-a7945919e064	13661f2a-39b5-40a0-b8ae-3eecc158f073.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-SKCM	TCGA-EB-A5FP	TCGA-EB-A5FP-01A	Tumor	Primary	Solid Tissue	OCT
a4c11662-11b6-4f3d-b41d-8589f8f7462d	3a5cd065-b2fe-42ef-9877-5296b34d3f41.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LUSC	TCGA-O2-A52Q	TCGA-O2-A52Q-01A	Tumor	Primary	Solid Tissue	OCT
a4c85bc4-8bdc-4aca-9716-bb378c3bfb1b	deb88c84-d646-4e6c-9f34-d29c33fc9847.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LAML	TCGA-AB-2952	TCGA-AB-2952-03A	Tumor	Primary	Peripheral Blood NOS	Unknown
a4ce2684-210e-4e1a-989d-d5ed7223967d	83ca4b8a-7096-4ced-88f8-710a4fa82941.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-ESCA	TCGA-R6-A6L4	TCGA-R6-A6L4-01A	Tumor	Primary	Solid Tissue	Unknown
a4d288f5-f66a-4f18-b779-d3fd8dcabca0	a20055c7-94a5-4177-ba08-081d98dc0d53.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BLCA	TCGA-CF-A47Y	TCGA-CF-A47Y-01A	Tumor	Primary	Solid Tissue	OCT
a4df92a4-661a-4405-9a8a-af1448b0cade	72577c26-84cd-4de4-b214-451824167e3b.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-THYM	TCGA-4V-A9QJ	TCGA-4V-A9QJ-01A	Tumor	Primary	Unknown	Unknown
a4fa049f-79a7-420b-936d-168eb13714af	55a8feeb-f438-4094-b3f3-94338bb2d120.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-SARC	TCGA-DX-A8BK	TCGA-DX-A8BK-01A	Tumor	Primary	Solid Tissue	OCT
a4fdfcb1-27ec-4920-b0d7-0306075b78f2	cace702d-e6e0-4a01-be26-c3c0f06b52f2.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-PAAD	TCGA-3E-AAAZ	TCGA-3E-AAAZ-01A	Tumor	Primary	Solid Tissue	OCT
a5001b7a-c6b1-4a22-b698-b672ebf6f69e	e33cf365-7743-4807-8a00-34035f166b84.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-ESCA	TCGA-JY-A6FH	TCGA-JY-A6FH-01A	Tumor	Primary	Solid Tissue	Unknown
a508e8f6-e3d0-4838-b080-e60b68389d9f	e348bb26-cc4d-413f-82a8-120d9bdc5935.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LAML	TCGA-AB-2876	TCGA-AB-2876-03A	Tumor	Primary	Peripheral Blood NOS	Unknown
a50e7340-c08d-45b1-8a26-6d8ece2f7f34	90e8f8e7-6618-49c5-96b3-3febd42a8dad.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-COAD	TCGA-AA-3846	TCGA-AA-3846-01A	Tumor	Primary	Solid Tissue	Unknown
a515ba2f-dfec-420d-b077-6ee52094cdf7	032f6c04-17c9-4905-b5fe-804176154c99.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-UCEC	TCGA-AJ-A3BH	TCGA-AJ-A3BH-01A	Tumor	Primary	Solid Tissue	Unknown
a51885c9-ab7d-4c6d-b846-ff7d8ba8db1e	0cc02be7-4d66-4b24-8158-e50d12f2ffe7.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-PRAD	TCGA-EJ-5507	TCGA-EJ-5507-01A	Tumor	Primary	Unknown	Unknown
a523bfe3-97e0-4ca5-876f-c5e2d1d88b3a	d11b3f80-e6b8-4caa-a9f4-6235a27b43e0.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-UCEC	TCGA-B5-A11J	TCGA-B5-A11J-01A	Tumor	Primary	Solid Tissue	OCT
a5247935-352f-482f-aa60-adb527ef22be	bc896dae-09bf-4a24-b766-5b31d3b6aa24.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-TGCT	TCGA-2G-AAFG	TCGA-2G-AAFG-01A	Tumor	Primary	Solid Tissue	OCT
a529e248-23ed-48c5-8e7b-6ad43831a3dd	c509e7c8-911b-4dbb-bf5c-74d647e9e95f.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-OV	TCGA-57-1584	TCGA-57-1584-01A	Tumor	Primary	Unknown	Unknown
a5340fd2-e490-46f5-aab1-9eb9ae85b88e	6551fd76-2187-4111-b7ae-eba349ad990c.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-LGG	TCGA-DB-A4XA	TCGA-DB-A4XA-01A	Tumor	Primary	Solid Tissue	OCT
a535175b-ec99-4860-b337-1bb37bc5d84f	4a00cc8c-ddfc-43f9-b0de-4cbbe11742f7.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-ESCA	TCGA-L5-A891	TCGA-L5-A891-01A	Tumor	Primary	Unknown	Unknown
